                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       22.589980       22.590330       22.590330       36.705390       36.927790       37.294260       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680       37.359680    
94.000000       23.024010       23.024430       23.024430       36.780820       36.999230       37.362190       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720       37.426720    
96.000000       23.436390       23.436880       23.436880       36.834000       37.049820       37.410460       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450       37.474450    
98.000000       23.684750       23.685280       23.685280       36.881070       37.094710       37.453380       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930       37.516930    
100.00000       23.964540       23.965130       23.965130       36.912910       37.124670       37.481490       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740       37.544740    
102.00000       24.308050       24.308720       24.308720       36.934140       37.144470       37.499770       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820       37.562820    
104.00000       24.551690       24.552420       24.552420       36.937850       37.147630       37.502050       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110       37.565110    
106.00000       24.787200       24.787990       24.787990       36.940510       37.149480       37.502720       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860       37.565860    
108.00000       25.054940       25.055820       25.055820       36.943220       37.151600       37.503930       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140       37.567140    
110.00000       25.389020       25.390010       25.390010       36.946740       37.154750       37.506420       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640       37.569640    
