                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       24.978200       24.994220       25.780320       37.384740       37.543780       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860       37.720860    
94.000000       25.360640       25.377530       25.885150       37.445950       37.598730       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760       37.768760    
96.000000       25.727940       25.745620       26.042350       37.491500       37.640790       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750       37.806750    
98.000000       25.943730       25.961920       26.329810       37.532520       37.679020       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690       37.841690    
100.00000       26.189230       26.208020       26.906420       37.560150       37.704850       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530       37.865530    
102.00000       26.491500       26.511000       27.259920       37.578730       37.722060       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260       37.881260    
104.00000       26.703750       26.723830       27.538780       37.582890       37.725140       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130       37.883130    
106.00000       26.908820       26.929480       27.716930       37.588220       37.729770       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010       37.887010    
108.00000       27.142450       27.163730       27.860510       37.593620       37.734820       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770       37.891770    
110.00000       27.434740       27.456770       28.004000       37.597680       37.738120       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250       37.894250    
114.00000       27.789950       27.813120       28.220100       37.606470       37.744870       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640       37.898640    
118.00000       28.141920       28.166280       28.441340       37.618300       37.755590       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310       37.908310    
121.00000       28.454210       28.479570       28.655980       37.624190       37.760520       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300       37.912300    
125.00000       28.737570       28.764070       28.881270       37.633180       37.768140       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510       37.918510    
127.00000       28.921650       28.948790       29.034700       37.637770       37.772050       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710       37.921710    
128.00000       29.033670       29.060840       29.160700       37.638780       37.772720       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010       37.922010    
131.00000       29.181870       29.209730       29.356940       37.641160       37.774130       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260       37.922260    
132.00000       29.324890       29.353260       29.481360       37.641940       37.774590       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340       37.922340    
134.00000       29.426810       29.455660       29.606090       37.640190       37.772550       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090       37.920090    
137.00000       29.606020       29.635700       29.794320       37.635540       37.767700       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280       37.915280    
140.00000       29.816410       29.847110       29.985100       37.632240       37.764180       37.911710       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720       37.911720    
143.00000       30.033720       30.065540       30.175680       37.631000       37.762680       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040       37.910040    
147.00000       30.245610       30.279010       30.368090       37.624280       37.755290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290       37.902290    
151.00000       30.466510       30.501080       30.568290       37.620900       37.751130       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420       37.897420    
155.00000       30.687210       30.723240       30.772670       37.618720       37.748250       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840       37.893840    
159.00000       30.868220       30.905400       30.946250       37.613430       37.742600       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150       37.888150    
162.00000       31.067760       31.104230       31.146470       37.610740       37.739490       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840       37.884840    
166.00000       31.252810       31.290670       31.340770       37.606110       37.734220       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930       37.878930    
170.00000       31.427060       31.466990       31.515850       37.599700       37.726800       37.870390       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400       37.870400    
173.00000       31.550080       31.591350       31.637020       37.595340       37.721770       37.864730       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740       37.864740    
177.00000       31.684760       31.727590       31.769820       37.590610       37.716460       37.859000       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010       37.859010    
180.00000       31.820280       31.864350       31.900440       37.589460       37.714600       37.856450       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460       37.856460    
182.00000       31.852750       31.898340       31.934750       37.589560       37.714050       37.855150       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160       37.855160    
186.00000       32.029490       32.076480       32.105310       37.591470       37.714340       37.853350       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360       37.853360    
191.00000       32.185420       32.235350       32.262700       37.591170       37.712260       37.849220       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240       37.849240    
194.00000       32.295280       32.345830       32.374980       37.589620       37.709410       37.845010       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020       37.845020    
198.00000       32.436810       32.489810       32.519120       37.592210       37.710770       37.844490       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500       37.844500    
