                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       23.971940       23.973050       35.309670       37.303680       37.552910       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360       37.555360    
94.000000       24.375160       24.376430       35.400280       37.368300       37.617810       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320       37.620320    
96.000000       24.757950       24.759420       35.462880       37.415210       37.664780       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340       37.667340    
98.000000       24.988550       24.990120       35.518710       37.457110       37.706700       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310       37.709310    
100.00000       25.248490       25.250200       35.564490       37.484630       37.734120       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780       37.736780    
102.00000       25.567630       25.569540       35.599850       37.502780       37.752130       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830       37.754830    
104.00000       25.793790       25.795850       35.617070       37.506210       37.755310       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040       37.758040    
106.00000       26.012670       26.014890       35.634800       37.509480       37.758070       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840       37.760840    
108.00000       26.261220       26.263640       35.651360       37.512910       37.761010       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800       37.763800    
110.00000       26.572050       26.574720       35.667270       37.516230       37.764090       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900       37.766900    
