                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       25.338900       25.392880       25.393030       37.554820       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800       37.613800    
94.000000       25.711320       25.767600       25.767780       37.605990       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370       37.665370    
96.000000       26.072350       26.130270       26.130480       37.646400       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060       37.706060    
98.000000       26.280060       26.339410       26.339630       37.683370       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290       37.743290    
100.00000       26.518600       26.579400       26.579640       37.708490       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750       37.768750    
102.00000       26.813230       26.875520       26.875790       37.725330       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900       37.785900    
104.00000       27.018890       27.082550       27.082850       37.728640       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400       37.789400    
106.00000       27.217310       27.282310       27.282640       37.734690       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600       37.795600    
108.00000       27.443980       27.510360       27.510720       37.740960       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990       37.801990    
110.00000       27.728170       27.795960       27.796360       37.744340       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540       37.805540    
