                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       18.940210       19.170110       19.230610       19.234010       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560       19.234560    
94.000000       19.469150       19.699220       19.760160       19.764130       19.764760       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770       19.764770    
96.000000       19.979010       20.209280       20.270700       20.275290       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030       20.276030    
98.000000       20.275160       20.505540       20.567280       20.572290       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100       20.573100    
100.00000       20.617240       20.847800       20.909930       20.915470       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360       20.916360    
102.00000       21.037930       21.268700       21.331380       21.337630       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650       21.338650    
104.00000       21.337380       21.568330       21.631450       21.638260       21.639370       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380       21.639380    
106.00000       21.627640       21.858760       21.922330       21.929730       21.930950       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960       21.930960    
108.00000       21.957470       22.188820       22.252950       22.261070       22.262430       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440       22.262440    
110.00000       22.368200       22.599850       22.664740       22.673830       22.675360       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370       22.675370    
