                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       18.502240       18.513210       18.521420       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460       18.521460    
94.000000       19.051530       19.063860       19.073080       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130       19.073130    
96.000000       19.578760       19.592610       19.602930       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990       19.602990    
98.000000       19.887230       19.902020       19.913020       19.913100       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110       19.913110    
100.00000       20.239740       20.255790       20.267710       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810       20.267810    
102.00000       20.671260       20.689060       20.702230       20.702350       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360       20.702360    
104.00000       20.978200       20.997380       21.011550       21.011690       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700       21.011700    
106.00000       21.275080       21.295720       21.310920       21.311090       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100       21.311100    
108.00000       21.611200       21.633670       21.650180       21.650390       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400       21.650400    
110.00000       22.028570       22.053560       22.071830       22.072100       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110       22.072110    
114.00000       22.546170       22.574820       22.595640       22.596010       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040       22.596040    
118.00000       23.062130       23.095040       23.118790       23.119280       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320       23.119320    
121.00000       23.514550       23.551640       23.578220       23.578830       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890       23.578890    
125.00000       23.935460       23.976950       24.006470       24.007250       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320       24.007320    
127.00000       24.204650       24.249150       24.280650       24.281560       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650       24.281650    
128.00000       24.353360       24.399590       24.432230       24.433210       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300       24.433300    
131.00000       24.579030       24.628070       24.662530       24.663640       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750       24.663750    
132.00000       24.788210       24.839850       24.875980       24.877210       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340       24.877340    
134.00000       24.942590       24.996220       25.033640       25.034980       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130       25.035130    
137.00000       25.214970       25.272350       25.312140       25.313680       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860       25.313860    
140.00000       25.532430       25.593950       25.636340       25.638130       25.638340       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350       25.638350    
143.00000       25.864120       25.930270       25.975520       25.977620       25.977880       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890       25.977890    
147.00000       26.208790       26.280150       26.328580       26.331050       26.331370       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380       26.331380    
151.00000       26.540080       26.615680       26.666680       26.669490       26.669880       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900       26.669900    
155.00000       26.885540       26.965940       27.019810       27.023050       27.023530       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550       27.023550    
159.00000       27.165750       27.250000       27.306150       27.309780       27.310330       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350       27.310350    
162.00000       27.408780       27.496040       27.553960       27.557930       27.558550       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580       27.558580    
166.00000       27.702040       27.792870       27.852880       27.857290       27.858000       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040       27.858040    
170.00000       28.001280       28.096060       28.158350       28.163260       28.164090       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140       28.164140    
173.00000       28.208040       28.305580       28.369470       28.374750       28.375650       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710       28.375710    
177.00000       28.427370       28.527320       28.592600       28.598280       28.599270       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330       28.599330    
180.00000       28.641170       28.743730       28.810520       28.816590       28.817680       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750       28.817750    
182.00000       28.728030       28.832190       28.899880       28.906170       28.907310       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390       28.907390    
186.00000       28.993330       29.100040       29.169200       29.175990       29.177250       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350       29.177350    
191.00000       29.269400       29.379370       29.450390       29.457770       29.459190       29.459300       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310       29.459310    
194.00000       29.427610       29.539320       29.611330       29.619050       29.620560       29.620680       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690       29.620690    
198.00000       29.665710       29.780220       29.853820       29.862110       29.863770       29.863910       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930       29.863930    
202.00000       29.832340       29.949120       30.023990       30.032720       30.034500       30.034660       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670       30.034670    
